SourceType,DataAnalysisChapter,DataAnalysisContext,DataAnalysisUse,MathFoundationsSupport,CurrentNotesPages,FutureMFLabels,FutureMFTarget,SourceFile,SourceLine
Source Map,1,Data Analysis as Statistical Learning,Feature vectors for observations,"$\mathbb{R}^n$ vector notation, vector entries, subvectors, and vectors as collections of quantities belonging to the same object",pp. 6--7,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,414
Source Map,1,Data Analysis as Statistical Learning,Linear models as weighted inputs,Scalar multiplication and linear combinations of vectors,pp. 9--10,mf:scalar-multiplication; mf:linear-combinations; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:scalar-multiplication`, `mf:linear-combinations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,416
Source Map,1,Data Analysis as Statistical Learning,Inner-product form $\boldsymbol{\beta}^T\mathbf{x}$,"Dot product definition, dot product properties, and examples of weighted sums",p. 16,mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,418
Source Map,1,Data Analysis as Statistical Learning,Neural-network layers as repeated linear operations plus nonlinearities,Matrix-vector multiplication as row inner products and as linear combinations of columns,pp. 23--26,mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:matrices-dimensions; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,420
Source Map,1,Data Analysis as Statistical Learning,Correlation as linear alignment,"Dot products, Euclidean norm, distance, angle, and orthogonality",pp. 16--18,mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:vector-distance; mf:angles; mf:orthogonality; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,422
Source Map,1,Data Analysis as Statistical Learning,Reasoning from assumptions to conclusions,"Logic, truth tables, implications, biconditionals, and De Morgan's laws",pp. 1--5,mf:logic-statements; mf:logic-negation; mf:logic-implication; mf:data-analysis-bridge-index,"Ch01 Logic and Deductive Reasoning: `mf:logic-statements`, `mf:logic-negation`, `mf:logic-implication`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,424
Source Map,2,"Prediction Error, Flexibility, and Generalization","Response, prediction, and residual vectors","$\mathbb{R}^n$ vector notation, entries, and vector subtraction",pp. 6--8,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:vector-arithmetic; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,364
Source Map,2,"Prediction Error, Flexibility, and Generalization",Empirical MSE as squared distance,"Dot products, $\mathbf{a}^T\mathbf{a}=\sum_i a_i^2$, Euclidean norm, and distance between vectors",pp. 16--18,mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:vector-distance; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,366
Source Map,2,"Prediction Error, Flexibility, and Generalization",Residual length and RMSE,Euclidean norm properties and distance as $\|\mathbf{a}-\mathbf{b}\|$,pp. 17--18,mf:vectors-as-data; mf:norms-euclidean; mf:vector-distance; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:vector-distance`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,368
Source Map,2,"Prediction Error, Flexibility, and Generalization",Linear models as finite-parameter estimators,"Linear combinations, coefficients of linear combinations, and inner products","pp. 9--10, 16",mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,370
Source Map,2,"Prediction Error, Flexibility, and Generalization",Flexibility and degrees-of-freedom intuition,"Linear independence, bases, and the maximum size of linearly independent sets in $\mathbb{R}^n$",pp. 20--21,mf:vectors-rn; mf:linear-independence; mf:bases; mf:dimension; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`, `mf:dimension`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,372
Source Map,2,"Prediction Error, Flexibility, and Generalization",Matrix notation behind fitted predictors,"Matrix size, transpose notation, and matrix-vector multiplication",pp. 23--26,mf:vectors-as-data; mf:matrices-dimensions; mf:transpose; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,374
Source Map,3,"Data Quality, Cleaning, and Trustworthy Variables",Data rows and variables as structured vectors,"$\mathbb{R}^n$ vector notation, entries, subvectors, and vectors as collections of quantities",pp. 6--7,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch03_Data_Quality_Cleaning_Trustworthy_Variables_v3.tex,274
Source Map,3,"Data Quality, Cleaning, and Trustworthy Variables","Numeric, ordinal, and categorical variable domains","Set membership, complements, set difference, subsets, and common number systems",pp. 11--15,mf:set-membership; mf:set-operations; mf:subsets; mf:vectors-as-data; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch04 Sets, Set Operations, and Quantifiers: `mf:set-membership`, `mf:set-operations`, `mf:subsets`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch03_Data_Quality_Cleaning_Trustworthy_Variables_v3.tex,276
Source Map,3,"Data Quality, Cleaning, and Trustworthy Variables",Filtering rows and selecting columns,Subvector/slice notation and matrix submatrix extraction,"pp. 6, 23",mf:vector-entries-subvectors; mf:matrices-dimensions; mf:submatrix-extraction; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vector-entries-subvectors`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:submatrix-extraction`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch03_Data_Quality_Cleaning_Trustworthy_Variables_v3.tex,278
Source Map,3,"Data Quality, Cleaning, and Trustworthy Variables",Cleaning by subsetting observations,"Set operations, subset notation, quantified statements, and negation of quantified statements",pp. 11--15,mf:logic-statements; mf:logic-negation; mf:quantifiers; mf:quantifier-negation; mf:set-membership; mf:set-operations; mf:subsets; mf:vectors-as-data; mf:data-analysis-bridge-index,"Ch01 Logic and Deductive Reasoning: `mf:logic-statements`, `mf:logic-negation`; Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch04 Sets, Set Operations, and Quantifiers: `mf:quantifiers`, `mf:quantifier-negation`, `mf:set-membership`, `mf:set-operations`, `mf:subsets`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch03_Data_Quality_Cleaning_Trustworthy_Variables_v3.tex,280
Source Map,3,"Data Quality, Cleaning, and Trustworthy Variables",Outlier detection as distance from typical pattern,"Euclidean norm, distance between vectors, and angle/orthogonality intuition",pp. 17--18,mf:norms-euclidean; mf:vector-distance; mf:angles; mf:orthogonality; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:vector-distance`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch03_Data_Quality_Cleaning_Trustworthy_Variables_v3.tex,282
Source Map,3,"Data Quality, Cleaning, and Trustworthy Variables",Design-matrix readiness after cleaning,"Matrix dimensions, sparse matrices, transpose notation, and matrix-vector multiplication",pp. 23--26,mf:matrices-dimensions; mf:transpose; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch03_Data_Quality_Cleaning_Trustworthy_Variables_v3.tex,284
Source Map,4,Exploratory Data Analysis: Summaries and Visual Structure,A numeric variable as a data vector,"$\mathbb{R}^n$ vector notation, entries, and vectors as collections of quantities",pp. 6--7,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch04_Exploratory_Data_Analysis_Summaries_Visual_Structure_v3.tex,361
Source Map,4,Exploratory Data Analysis: Summaries and Visual Structure,Mean as a vector operation,"Dot product examples, including $\mathbf{1}^T\mathbf{a}=\sum_i a_i$ and $(1/n)\mathbf{1}^T\mathbf{a}$ as a sample mean",p. 16,mf:ones-vector; mf:dot-product; mf:inner-product-weighted-sums; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:ones-vector`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch04_Exploratory_Data_Analysis_Summaries_Visual_Structure_v3.tex,363
Source Map,4,Exploratory Data Analysis: Summaries and Visual Structure,Variance and standard deviation as squared length,"Dot products, $\mathbf{a}^T\mathbf{a}=\sum_i a_i^2$, and Euclidean norm $\|\mathbf{x}\|=\sqrt{\mathbf{x}^T\mathbf{x}}$",pp. 16--17,mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch04_Exploratory_Data_Analysis_Summaries_Visual_Structure_v3.tex,365
Source Map,4,Exploratory Data Analysis: Summaries and Visual Structure,Centered-vector view of spread,"Vector subtraction, scalar multiplication, norm properties, and distance","pp. 8--10, 17--18",mf:vector-arithmetic; mf:centered-vectors; mf:scalar-multiplication; mf:norms-euclidean; mf:vector-distance; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`, `mf:centered-vectors`, `mf:scalar-multiplication`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:vector-distance`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch04_Exploratory_Data_Analysis_Summaries_Visual_Structure_v3.tex,367
Source Map,4,Exploratory Data Analysis: Summaries and Visual Structure,Correlation as geometric alignment,"Angle formula, dot products, norms, and the orthogonality case $\mathbf{a}^T\mathbf{b}=0$",p. 18,mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:angles; mf:orthogonality; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch04_Exploratory_Data_Analysis_Summaries_Visual_Structure_v3.tex,369
Source Map,4,Exploratory Data Analysis: Summaries and Visual Structure,Scatterplot matrices and heatmaps,"Matrix dimensions, submatrix notation, transpose, and matrix-vector multiplication",pp. 23--26,mf:matrices-dimensions; mf:transpose; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:submatrix-extraction; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`, `mf:submatrix-extraction`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch04_Exploratory_Data_Analysis_Summaries_Visual_Structure_v3.tex,371
Source Map,5,"Simple Linear Regression: Model, Assumptions, and Least Squares Estimation",Data columns as vectors,"$\mathbb{R}^n$ vector notation, vector entries, and the ones vector $\mathbf{1}$",pp. 6--7,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:ones-vector; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`, `mf:ones-vector`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch05_Simple_Linear_Regression_Model_Assumptions_Least_Squares_Estimation_v3.tex,752
Source Map,5,"Simple Linear Regression: Model, Assumptions, and Least Squares Estimation",Centered vectors and sums,"Vector subtraction, scalar multiplication, and linear combinations",pp. 8--10,mf:vector-arithmetic; mf:centered-vectors; mf:scalar-multiplication; mf:linear-combinations; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`, `mf:centered-vectors`, `mf:scalar-multiplication`, `mf:linear-combinations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch05_Simple_Linear_Regression_Model_Assumptions_Least_Squares_Estimation_v3.tex,754
Source Map,5,"Simple Linear Regression: Model, Assumptions, and Least Squares Estimation",Sample means as sums,"Dot product examples, including $\mathbf{1}^T\mathbf{a}=\sum_i a_i$ and $(1/n)\mathbf{1}^T\mathbf{a}$ as a sample mean",p. 16,mf:ones-vector; mf:dot-product; mf:inner-product-weighted-sums; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:ones-vector`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch05_Simple_Linear_Regression_Model_Assumptions_Least_Squares_Estimation_v3.tex,756
Source Map,5,"Simple Linear Regression: Model, Assumptions, and Least Squares Estimation",Least squares objective as a norm,$\mathbf{a}^T\mathbf{a}=\sum_i a_i^2$ and the Euclidean norm $\|\mathbf{x}\|=\sqrt{\mathbf{x}^T\mathbf{x}}$,pp. 16--17,mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:least-squares-objective; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-objective`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch05_Simple_Linear_Regression_Model_Assumptions_Least_Squares_Estimation_v3.tex,758
Source Map,5,"Simple Linear Regression: Model, Assumptions, and Least Squares Estimation",Residual orthogonality,"Dot products, angles, and the special case $\mathbf{a}^T\mathbf{b}=0$ meaning orthogonality",p. 18,mf:vectors-as-data; mf:dot-product; mf:inner-product-weighted-sums; mf:angles; mf:orthogonality; mf:least-squares-projection-bridge; mf:least-squares-residual-orthogonality; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:angles`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:least-squares-residual-orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch05_Simple_Linear_Regression_Model_Assumptions_Least_Squares_Estimation_v3.tex,760
Source Map,5,"Simple Linear Regression: Model, Assumptions, and Least Squares Estimation",Design matrix notation,"Matrix size, transpose notation, and matrix-vector multiplication as row inner products / linear combinations of columns",pp. 23--25,mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:matrices-dimensions; mf:transpose; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch05_Simple_Linear_Regression_Model_Assumptions_Least_Squares_Estimation_v3.tex,762
Source Map,6,"Simple Linear Regression: Fit Quality, $R^2$, and Hypothesis Testing",Mean-only fitted vector,$\mathbb{R}^n$ vector notation and the ones vector $\mathbf{1}$,pp. 6--7,mf:vectors-rn; mf:ones-vector; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:ones-vector`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch06_Simple_Linear_Regression_Fit_Quality_R2_Hypothesis_Testing_v3.tex,632
Source Map,6,"Simple Linear Regression: Fit Quality, $R^2$, and Hypothesis Testing",TSS and RSS as squared lengths,"Dot products, $\mathbf{a}^T\mathbf{a}=\sum_i a_i^2$, and Euclidean norm $\|\mathbf{x}\|=\sqrt{\mathbf{x}^T\mathbf{x}}$",pp. 16--17,mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch06_Simple_Linear_Regression_Fit_Quality_R2_Hypothesis_Testing_v3.tex,634
Source Map,6,"Simple Linear Regression: Fit Quality, $R^2$, and Hypothesis Testing",Sum-of-squares decomposition,"Dot products, norms, and orthogonality of fitted and residual components",pp. 16--18,mf:vectors-as-data; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:orthogonality; mf:least-squares-projection-bridge; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch06_Simple_Linear_Regression_Fit_Quality_R2_Hypothesis_Testing_v3.tex,636
Source Map,6,"Simple Linear Regression: Fit Quality, $R^2$, and Hypothesis Testing",Residual degrees of freedom,"Linear independence, basis size, and leftover dimension intuition",p. 20,mf:vectors-as-data; mf:linear-independence; mf:bases; mf:dimension; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`, `mf:dimension`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch06_Simple_Linear_Regression_Fit_Quality_R2_Hypothesis_Testing_v3.tex,638
